hex_id,n_tiles,mean_err,std_err,hex_area_m2,N_total_tiles,se_mean,ci_lo_mean,ci_hi_mean,total_err_est,se_total_est,ci_lo_total,ci_hi_total
155,2,2.5,3.536,649519.053,65,2.5,-2.4,7.4,162.5,162.5,-156.0,481.0
156,4,1.25,2.217,649519.053,65,1.109,-0.923,3.423,81.25,72.064,-59.996,222.496
157,3,1.0,1.0,649519.053,65,0.577,-0.132,2.132,65.0,37.528,-8.554,138.554
158,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
159,2,-1.0,0.0,649519.053,65,0.0,-1.0,-1.0,-65.0,0.0,-65.0,-65.0
160,5,0.6,1.673,649519.053,65,0.748,-0.867,2.067,39.0,48.642,-56.337,134.337
161,1,-3.0,,649519.053,65,,,,-195.0,,,
162,1,0.0,,649519.053,65,,,,0.0,,,
163,2,-32.0,5.657,649519.053,65,4.0,-39.84,-24.16,-2080.0,260.0,-2589.6,-1570.4
164,0,,,649519.053,65,,,,,,,
165,1,0.0,,649519.053,65,,,,0.0,,,
166,0,,,649519.053,65,,,,,,,
167,0,,,649519.053,65,,,,,,,
168,0,,,649519.053,65,,,,,,,
169,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
170,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
171,1,0.0,,649519.053,65,,,,0.0,,,
172,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1,0.0,,649519.053,65,,,,0.0,,,
174,1,2.0,,649519.053,65,,,,130.0,,,
175,1,3.0,,649519.053,65,,,,195.0,,,
176,1,7.0,,649519.053,65,,,,455.0,,,
177,6,-2.5,6.189,649519.053,65,2.527,-7.452,2.452,-162.5,164.224,-484.379,159.379
178,8,1.0,2.563,649519.053,65,0.906,-0.776,2.776,65.0,58.911,-50.466,180.466
179,4,0.25,0.5,649519.053,65,0.25,-0.24,0.74,16.25,16.25,-15.6,48.1
180,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,2,-17.5,7.778,649519.053,65,5.5,-28.28,-6.72,-1137.5,357.5,-1838.2,-436.8
182,1,0.0,,649519.053,65,,,,0.0,,,
183,2,-4.5,0.707,649519.053,65,0.5,-5.48,-3.52,-292.5,32.5,-356.2,-228.8
184,0,,,649519.053,65,,,,,,,
185,1,-57.0,,649519.053,65,,,,-3705.0,,,
186,0,,,649519.053,65,,,,,,,
187,0,,,649519.053,65,,,,,,,
188,0,,,649519.053,65,,,,,,,
189,0,,,649519.053,65,,,,,,,
190,1,0.0,,649519.053,65,,,,0.0,,,
191,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,2,1.0,1.414,649519.053,65,1.0,-0.96,2.96,65.0,65.0,-62.4,192.4
194,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,2,0.5,0.707,649519.053,65,0.5,-0.48,1.48,32.5,32.5,-31.2,96.2
196,5,2.8,3.564,649519.053,65,1.594,-0.324,5.924,182.0,103.593,-21.042,385.042
197,1,2.0,,649519.053,65,,,,130.0,,,
198,0,,,649519.053,65,,,,,,,
199,3,-2.333,2.517,649519.053,65,1.453,-5.181,0.514,-151.667,94.443,-336.775,33.441
200,1,3.0,,649519.053,65,,,,195.0,,,
201,1,-1.0,,649519.053,65,,,,-65.0,,,
202,5,-6.8,12.637,649519.053,65,5.652,-17.877,4.277,-442.0,367.351,-1162.007,278.007
203,1,-4.0,,649519.053,65,,,,-260.0,,,
204,4,1.25,2.5,649519.053,65,1.25,-1.2,3.7,81.25,81.25,-78.0,240.5
205,1,-2.0,,649519.053,65,,,,-130.0,,,
206,4,-33.75,21.36,649519.053,65,10.68,-54.683,-12.817,-2193.75,694.2,-3554.383,-833.117
207,1,-60.0,,649519.053,65,,,,-3900.0,,,
208,0,,,649519.053,65,,,,,,,
209,1,2.0,,649519.053,65,,,,130.0,,,
210,0,,,649519.053,65,,,,,,,
211,1,0.0,,649519.053,65,,,,0.0,,,
212,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,0,,,649519.053,65,,,,,,,
214,2,1.0,1.414,649519.053,65,1.0,-0.96,2.96,65.0,65.0,-62.4,192.4
215,0,,,649519.053,65,,,,,,,
216,4,0.25,0.5,649519.053,65,0.25,-0.24,0.74,16.25,16.25,-15.6,48.1
217,5,-17.6,26.35,649519.053,65,11.784,-40.696,5.496,-1144.0,765.953,-2645.267,357.267
218,1,0.0,,649519.053,65,,,,0.0,,,
219,2,-1.5,2.121,649519.053,65,1.5,-4.44,1.44,-97.5,97.5,-288.6,93.6
220,1,2.0,,649519.053,65,,,,130.0,,,
221,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
223,3,-3.0,5.196,649519.053,65,3.0,-8.88,2.88,-195.0,195.0,-577.2,187.2
224,4,0.25,0.5,649519.053,65,0.25,-0.24,0.74,16.25,16.25,-15.6,48.1
225,1,0.0,,649519.053,65,,,,0.0,,,
